,u,v,key,osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,startpoint,endpoint,Filename,Date,Time
0,244084320,6262965272,10000,916400502,1,4,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,64.194,40,"LINESTRING (104.8338042 11.5391927, 104.8334322 11.538745)","(11.5391927, 104.8338042)","(11.538745, 104.8334322)",01-Sep-23 8.35 AM - 20240115192355.png,01-Sep-23,8:35 AM
1,244084320,3963546169,10000,916400502,1,4,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,19.182,40,"LINESTRING (104.8339162 11.5393258, 104.8338042 11.5391927)","(11.5393258, 104.8339162)","(11.5391927, 104.8338042)",01-Sep-23 8.35 AM - 20240115192401.png,01-Sep-23,8:35 AM
2,244084328,3788589822,10000,657111496,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,11.663,40,"LINESTRING (104.8555919 11.5624684, 104.855692 11.5625056)","(11.5624684, 104.8555919)","(11.5625056, 104.855692)",01-Sep-23 8.35 AM - 20240115192406.png,01-Sep-23,8:35 AM
3,244084328,6139283311,10000,657111496,1,,4,មហាវិថី សហព័ន្ធរុស្ស៊ី,trunk,False,95.23599999999999,40,"LINESTRING (104.8547948 11.5621173, 104.8552431 11.5623262, 104.8555919 11.5624684)","(11.5621173, 104.8547948)","(11.5624684, 104.8555919)",01-Sep-23 8.35 AM - 20240115192411.png,01-Sep-23,8:35 AM
4,253591599,10783685028,10000,1160049979,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,80.611,40,"LINESTRING (104.9212892 11.5510419, 104.9213992 11.550325)","(11.5510419, 104.9212892)","(11.550325, 104.9213992)",01-Sep-23 8.35 AM - 20240115192416.png,01-Sep-23,8:35 AM
5,253591599,4515734700,10000,1160049979,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,276.526,40,"LINESTRING (104.9209117 11.5535011, 104.9212892 11.5510419)","(11.5535011, 104.9209117)","(11.5510419, 104.9212892)",01-Sep-23 8.35 AM - 20240115192421.png,01-Sep-23,8:35 AM
6,253591612,444153186,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,65.931,40,"LINESTRING (104.9183744 11.5709266, 104.9182862 11.5715132)","(11.5709266, 104.9183744)","(11.5715132, 104.9182862)",01-Sep-23 8.35 AM - 20240115192426.png,01-Sep-23,8:35 AM
7,253591612,436015824,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,30.152,40,"LINESTRING (104.9184152 11.5706584, 104.9183744 11.5709266)","(11.5706584, 104.9184152)","(11.5709266, 104.9183744)",01-Sep-23 8.35 AM - 20240115192431.png,01-Sep-23,8:35 AM
8,253591615,10718170143,10000,656560015,0,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,True,37.757,40,"LINESTRING (104.9172103 11.5781681, 104.9172617 11.5778323)","(11.5781681, 104.9172103)","(11.5778323, 104.9172617)",01-Sep-23 8.35 AM - 20240115192436.png,01-Sep-23,8:35 AM
9,253591615,1853711667,10000,656560015,0,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,68.71,40,"LINESTRING (104.9173552 11.5772212, 104.9172617 11.5778323)","(11.5772212, 104.9173552)","(11.5778323, 104.9172617)",01-Sep-23 8.35 AM - 20240115192441.png,01-Sep-23,8:35 AM
10,313257736,325889510,10000,237641645,1,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,114.748,40,"LINESTRING (104.9163151 11.5840168, 104.9163547 11.584161, 104.9163854 11.5842599, 104.9164262 11.5843373, 104.916702 11.584727, 104.916811 11.584917)","(11.5840168, 104.9163151)","(11.584917, 104.916811)",01-Sep-23 8.35 AM - 20240115192445.png,01-Sep-23,8:35 AM
11,325599033,4115032238,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,110.47,40,"LINESTRING (104.9190559 11.5664109, 104.9189076 11.5673937)","(11.5664109, 104.9190559)","(11.5673937, 104.9189076)",01-Sep-23 8.35 AM - 20240115192450.png,01-Sep-23,8:35 AM
12,325599033,339873158,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,169.109,40,"LINESTRING (104.9192828 11.5649064, 104.9190559 11.5664109)","(11.5649064, 104.9192828)","(11.5664109, 104.9190559)",01-Sep-23 8.35 AM - 20240115192455.png,01-Sep-23,8:35 AM
13,325599685,8415123973,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,62.012,40,"LINESTRING (104.9195271 11.5632868, 104.9194439 11.5638385)","(11.5632868, 104.9195271)","(11.5638385, 104.9194439)",01-Sep-23 8.35 AM - 20240115192500.png,01-Sep-23,8:35 AM
14,325599685,325603001,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,56.853,40,"LINESTRING (104.9196034 11.562781, 104.9195271 11.5632868)","(11.562781, 104.9196034)","(11.5632868, 104.9195271)",01-Sep-23 8.35 AM - 20240115192505.png,01-Sep-23,8:35 AM
15,325599898,5136092974,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,82.403,40,"LINESTRING (104.9201468 11.5591793, 104.9200376 11.5599126)","(11.5591793, 104.9201468)","(11.5599126, 104.9200376)",01-Sep-23 8.35 AM - 20240115192519.png,01-Sep-23,8:35 AM
16,325599898,325600042,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,67.295,40,"LINESTRING (104.9202371 11.5585806, 104.9201468 11.5591793)","(11.5585806, 104.9202371)","(11.5591793, 104.9201468)",01-Sep-23 8.35 AM - 20240115192524.png,01-Sep-23,8:35 AM
17,325600042,10927732917,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,28.871,40,"LINESTRING (104.9202801 11.5583244, 104.9202371 11.5585806)","(11.5583244, 104.9202801)","(11.5585806, 104.9202371)",01-Sep-23 8.35 AM - 20240115192529.png,01-Sep-23,8:35 AM
18,325600575,6350087870,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,72.297,40,"LINESTRING (104.918737 11.568525, 104.91864 11.5691682)","(11.568525, 104.918737)","(11.5691682, 104.91864)",01-Sep-23 8.35 AM - 20240115192534.png,01-Sep-23,8:35 AM
19,325600575,3763445061,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,40.825,40,"LINESTRING (104.9187918 11.5681618, 104.918737 11.568525)","(11.5681618, 104.9187918)","(11.568525, 104.918737)",01-Sep-23 8.35 AM - 20240115192539.png,01-Sep-23,8:35 AM
20,325601082,10927732917,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,44.264,40,"LINESTRING (104.9203352 11.55793, 104.9202801 11.5583244)","(11.55793, 104.9203352)","(11.5583244, 104.9202801)",01-Sep-23 8.35 AM - 20240115192543.png,01-Sep-23,8:35 AM
21,325601082,325601188,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,80.031,40,"LINESTRING (104.9204426 11.557218, 104.9203352 11.55793)","(11.557218, 104.9204426)","(11.55793, 104.9203352)",01-Sep-23 8.35 AM - 20240115192548.png,01-Sep-23,8:35 AM
22,325601188,325602980,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,82.121,40,"LINESTRING (104.9205528 11.5564874, 104.9204426 11.557218)","(11.5564874, 104.9205528)","(11.557218, 104.9204426)",01-Sep-23 8.35 AM - 20240115192552.png,01-Sep-23,8:35 AM
23,325601296,325603001,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,62.867999999999995,40,"LINESTRING (104.9196878 11.5622217, 104.919672 11.5623264, 104.9196034 11.562781)","(11.5622217, 104.9196878)","(11.562781, 104.9196034)",01-Sep-23 8.35 AM - 20240115192557.png,01-Sep-23,8:35 AM
24,325601296,1795663219,10000,683537415,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,31.71,40,"LINESTRING (104.9197304 11.5619396, 104.9196878 11.5622217)","(11.5619396, 104.9197304)","(11.5622217, 104.9196878)",01-Sep-23 8.35 AM - 20240115192601.png,01-Sep-23,8:35 AM
25,325602980,6115950233,10000,1160247615,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,25.471,40,"LINESTRING (104.920587 11.5562608, 104.9205528 11.5564874)","(11.5562608, 104.920587)","(11.5564874, 104.9205528)",01-Sep-23 8.35 AM - 20240115192606.png,01-Sep-23,8:35 AM
26,325603075,436015824,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,79.446,40,"LINESTRING (104.9185218 11.5699516, 104.9184152 11.5706584)","(11.5699516, 104.9185218)","(11.5706584, 104.9184152)",01-Sep-23 8.35 AM - 20240115192610.png,01-Sep-23,8:35 AM
27,325603075,4115032242,10000,1160296682,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,75.658,40,"LINESTRING (104.9186233 11.5692785, 104.9185218 11.5699516)","(11.5692785, 104.9186233)","(11.5699516, 104.9185218)",01-Sep-23 8.35 AM - 20240115192615.png,01-Sep-23,8:35 AM
28,325607458,4452252086,10000,1160049978,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,86.401,40,"LINESTRING (104.9218305 11.5481392, 104.9217127 11.5489076)","(11.5481392, 104.9218305)","(11.5489076, 104.9217127)",01-Sep-23 8.35 AM - 20240115192619.png,01-Sep-23,8:35 AM
29,325607458,4452252085,10000,1160049978,1,2,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,False,259.02,40,"LINESTRING (104.9221835 11.5458356, 104.9218305 11.5481392)","(11.5458356, 104.9221835)","(11.5481392, 104.9218305)",01-Sep-23 8.35 AM - 20240115192623.png,01-Sep-23,8:35 AM
30,325608712,6106842085,10000,656560015,0,,1,មហាវិថី ព្រះមុនីវង្ស (៩៣),trunk,True,95.223,40,"LINESTRING (104.9177601 11.5745754, 104.9178897 11.5737285)","(11.5745754, 104.9177601)","(11.5737285, 104.9178897)",01-Sep-23 8.35 AM - 20240115192636.png,01-Sep-23,8:35 AM
