start_lat,start_lon,end_lat,end_lon,time,dt,distance,aver_speed
11.54902,104.91924,11.54807,104.93109,1689094803,676,2835.936342,4.195172104
11.55893,104.90146,11.56971,104.89853,1689094812,223,2752.782123,12.34431445
11.57772,104.88223,11.57468,104.88775,1689094818,227,1366.980997,6.02194272
11.59833,104.88362,11.60824,104.89405,1689094842,610,1583.232169,2.595462572
11.62541,104.92467,11.63609,104.92019,1689094879,429,1324.683042,3.087839258
11.54532,104.90983,11.53125,104.91041,1689094910,762,1569.981554,2.060343247
11.56114,104.93179,11.55251,104.9301,1689094918,372,986.9215155,2.653014827
11.62182,104.90549,11.61945,104.90802,1689094924,267,402.5969146,1.507853613
11.56836,104.81024,11.57195,104.8066,1689094925,195,562.6592465,2.885432033
11.51509,104.77013,11.5195,104.77737,1689094963,409,936.0936758,2.288737594
11.56321,104.88853,11.56374,104.88922,1689094965,206,338.5412503,1.643404128
11.58621,104.91608,11.59752,104.91845,1689094969,231,1296.912651,5.61434048
11.51737,104.8996,11.50223,104.89782,1689094982,615,2661.269007,4.327266678
11.58176,104.92945,11.58905,104.92414,1689094982,325,1282.03902,3.944735445
11.5521,104.9368,11.54801,104.93114,1689095002,318,777.1903809,2.443994908
11.58391,104.89936,11.55899,104.91526,1689095004,1133,3775.794528,3.332563573
11.55826,104.93847,11.55055,104.93744,1689095023,230,4201.639581,18.26799818
11.46027,104.87961,11.45339,104.888,1689095038,703,1196.294289,1.701698847
11.54532,104.90985,11.53192,104.91095,1689095074,275,1991.45522,7.241655345
11.56972,104.92736,11.55992,104.91758,1689095090,697,4390.102744,6.298569216
11.56218,104.9278,11.55651,104.91147,1689095098,1138,1913.018534,1.681035619
11.51926,104.91606,11.51652,104.92059,1689095115,267,580.0328083,2.172407522
11.52006,104.93201,11.51525,104.92591,1689095124,285,853.5051067,2.99475476
11.56998,104.92772,11.54,104.89746,1689095128,1238,7834.363753,6.328242127
11.53917,104.96986,11.53154,104.94073,1689095133,557,4799.67772,8.617015655
11.55556,104.86083,11.56441,104.85911,1689095146,669,1074.811589,1.606594304
11.56217,104.92168,11.56305,104.89185,1689095150,851,8868.558583,10.42133793
11.57141,104.88947,11.54972,104.88595,1689095158,947,2767.78059,2.922682777
11.53157,104.86317,11.52976,104.84791,1689095176,310,2275.350585,7.339840597
11.56133,104.9268,11.55169,104.9076,1689095180,794,2388.100627,3.007683409
11.66154,104.86185,11.64736,104.85271,1689095183,277,1877.296678,6.777244326
11.52229,104.9025,11.50777,104.89504,1689095187,571,1817.632859,3.183244937
11.549,104.91596,11.5431,104.92237,1689095190,460,1216.86876,2.64536687
11.56439,104.92596,11.57195,104.9203,1689095206,231,1050.939914,4.549523437
11.54843,104.90641,11.54422,104.9289,1689095208,538,4777.308166,8.879754956
11.57065,104.91104,11.56008,104.89693,1689095220,1435,2736.806767,1.907182416
11.54597,104.93068,11.5333,104.92977,1689095251,201,1645.87721,8.18844383
11.56725,104.9271,11.55355,104.93647,1689095266,1109,5545.289695,5.000261222
11.65913,104.77489,11.65703,104.76829,1689095269,290,756.6035919,2.608977903
11.57157,104.89065,11.5736,104.87701,1689095272,381,1520.326845,3.990359174
11.58586,104.84444,11.58193,104.84747,1689095308,373,572.8658364,1.535833341
11.55379,104.93649,11.56095,104.93205,1689095317,876,1393.803664,1.591100073
11.54455,104.90313,11.54948,104.90043,1689095324,407,622.124304,1.528560944
11.627,104.83947,11.62503,104.84655,1689095333,531,817.8093598,1.540130621
11.53642,104.8344,11.53906,104.82587,1689095339,440,976.1590057,2.218543195
11.59567,104.76392,11.58755,104.7789,1689095351,513,1864.880158,3.635243972
11.54849,104.90652,11.52135,104.88847,1689095353,1655,4344.593466,2.625132004
11.59605,104.88472,11.60575,104.88659,1689095366,217,1100.322491,5.070610558
11.51361,104.85876,11.52591,104.85408,1689095368,325,1466.092531,4.511053943
11.6028,104.93018,11.5875,104.91577,1689095385,277,2825.512396,10.20040576
11.55925,104.91624,11.56864,104.92223,1689095389,702,2702.109574,3.849158937
11.57087,104.89889,11.55281,104.90215,1689095401,775,2349.737487,3.031919338
11.5614,104.91169,11.55606,104.94065,1689095404,1537,7522.899206,4.894534291
11.46699,104.88858,11.52659,104.88747,1689095404,1745,8181.175639,4.688352802
11.57149,104.91695,11.57606,104.87476,1689095441,524,9606.907482,18.3337929
11.53822,104.84682,11.53107,104.8458,1689095448,674,1115.08565,1.654429747
11.57159,104.91795,11.57952,104.91508,1689095470,548,954.7092405,1.742170147
11.53042,104.9305,11.52105,104.9203,1689095472,273,1523.779154,5.581608624
11.55822,104.92004,11.5483,104.92182,1689095480,1057,4799.36454,4.540553018
11.52398,104.89538,11.51357,104.89021,1689095521,285,1310.392524,4.597868504
11.59367,104.92616,11.61801,104.9234,1689095522,594,11187.77895,18.8346447
11.54182,104.90965,11.57248,104.89299,1689095527,881,8245.979585,9.359795216
11.52752,104.92307,11.52027,104.92033,1689095535,364,903.0939756,2.481027406
11.54302,104.90667,11.56708,104.90093,1689095539,874,2788.776914,3.190820268
11.55123,104.93476,11.55216,104.91973,1689095540,436,1851.782207,4.247206897
11.61291,104.81024,11.62158,104.81612,1689095549,312,1157.397541,3.709607503
11.58998,104.88161,11.58879,104.87178,1689095556,256,1083.355355,4.231856855
11.56396,104.87921,11.56552,104.87551,1689095562,271,443.1691172,1.635310396
11.49745,104.89744,11.51294,104.89852,1689095564,385,1738.407744,4.51534479
11.6963,104.83658,11.69975,104.84145,1689095565,336,677.7082485,2.016988835
11.54483,104.8365,11.53715,104.8241,1689095616,668,1617.079589,2.420777828
11.52427,104.94563,11.52556,104.94855,1689095631,363,650.833914,1.792930893
11.5543,104.93264,11.55198,104.92393,1689095637,184,3633.341438,19.74642086
11.54177,104.83532,11.53715,104.82412,1689095637,434,1323.943851,3.050561869
11.60432,104.8907,11.58725,104.90477,1689095645,449,5785.153045,12.88452794
11.56905,104.92817,11.56833,104.92551,1689095651,193,300.626726,1.55765143
11.44678,104.91945,11.44229,104.8837,1689095670,443,4118.106028,9.295950402
11.5881,104.93174,11.5983,104.93163,1689095678,350,1153.103363,3.294581037
11.57975,104.91043,11.58921,104.92837,1689095698,507,2398.085002,4.729950695
11.66383,104.86064,11.65425,104.86692,1689095711,374,1280.227902,3.423069256
11.55312,104.92958,11.55531,104.9238,1689095724,1176,2068.622313,1.759032579
11.52075,104.80008,11.52848,104.7957,1689095737,514,992.8670096,1.931647879
11.59669,104.81085,11.60004,104.81277,1689095750,184,428.8735578,2.330834553
11.54431,104.92816,11.53183,104.93704,1689095753,194,2062.238061,10.6300931
11.60267,104.90991,11.56067,104.92939,1689095759,1394,7800.085263,5.59547006
11.50779,104.89512,11.53213,104.90398,1689095765,982,2934.327225,2.988113264
11.53101,104.85905,11.5012,104.83117,1689095795,639,14253.77829,22.3063823
11.57808,104.83598,11.58179,104.84527,1689095802,285,1107.375345,3.885527525
11.5888,104.87186,11.59009,104.88532,1689095821,944,1473.341543,1.56074316
11.66657,104.87517,11.66018,104.85947,1689095826,260,1859.38986,7.151499463
11.55277,104.91838,11.52666,104.91899,1689095832,867,2928.712546,3.377984482
11.62331,104.92506,11.61055,104.92843,1689095842,421,4828.775322,11.46977511
11.55574,104.91342,11.54417,104.90157,1689095847,400,1923.433721,4.808584304
11.60863,104.92889,11.60014,104.93286,1689095866,578,1045.08908,1.808112596
11.5527,104.92117,11.55486,104.92515,1689095900,966,1462.680951,1.514162475
11.57764,104.92253,11.56973,104.92764,1689095900,512,2145.817879,4.191050545
11.56635,104.81577,11.56824,104.81423,1689095915,181,274.8478438,1.518496375
11.53223,104.93488,11.53029,104.92806,1689095922,356,839.9869775,2.359513982
11.56858,104.81688,11.58517,104.81242,1689095923,623,1907.925996,3.062481535
11.49803,104.94305,11.50568,104.94492,1689095949,328,918.9049795,2.801539572
11.58767,104.81686,11.58451,104.81763,1689095963,383,1134.98598,2.963409871
11.62293,104.9031,11.61953,104.90748,1689095970,275,608.6945967,2.213434897
11.57502,104.8932,11.57308,104.89912,1689095993,332,680.772651,2.050520033
11.5747,104.93398,11.56077,104.93302,1689096039,1201,3372.968136,2.808466391
11.54568,104.80126,11.54024,104.79746,1689096041,395,741.03223,1.876030962
11.55671,104.93436,11.58778,104.88197,1689096044,1347,15515.33326,11.51843597
11.55347,104.90165,11.55293,104.90041,1689096053,432,660.0173192,1.527817868
11.52028,105.02153,11.51934,105.01976,1689096055,376,688.6944425,1.831634156
11.5729,104.77563,11.57428,104.78288,1689096055,310,813.9390543,2.625609853
11.57116,104.9277,11.57133,104.929,1689096089,318,489.4723182,1.539221126
11.56324,104.90113,11.5594,104.89386,1689096147,418,919.1993371,2.199041476
11.5648,104.88885,11.5492,104.89596,1689096176,198,2312.087217,11.67720817
11.52544,104.95504,11.55065,104.93686,1689096182,957,6545.380483,6.839478038
11.55158,104.84281,11.5502,104.88956,1689096182,819,12883.61525,15.73090996
11.6267,104.87122,11.63988,104.88051,1689096224,640,1791.075598,2.798555622
11.47968,104.80955,11.48186,104.80445,1689096238,324,622.3062285,1.920698236
11.50722,104.92846,11.50489,104.9321,1689096246,269,473.7395168,1.761113445
11.5665,104.87926,11.567,104.89221,1689096278,617,1424.795105,2.309230316
11.50039,104.88873,11.5026,104.89049,1689096280,199,322.7173685,1.621695319
11.59401,104.88036,11.60558,104.86973,1689096290,750,1760.810449,2.347747265
11.51459,104.92522,11.51415,104.93364,1689096302,535,918.7236891,1.71724054
11.53937,104.83465,11.5346,104.83655,1689096303,610,1728.508764,2.833620924
11.55415,104.93152,11.55953,104.93313,1689096323,364,633.7922554,1.741187515
11.53333,104.82467,11.53931,104.83375,1689096323,392,1216.504223,3.103327101
11.53202,104.76472,11.53055,104.77627,1689096337,1199,3512.203359,2.929277197
11.50785,104.89634,11.51284,104.9004,1689096363,201,728.6028701,3.624889901
11.63247,104.91817,11.70744,104.94426,1689096376,984,26725.39597,27.15995526
11.59454,104.90982,11.59382,104.91055,1689096386,210,350.8566331,1.670745872
11.54067,104.9216,11.54708,104.90639,1689096388,506,1889.32893,3.73385164
11.69971,104.84143,11.6817,104.84683,1689096446,1076,2687.444186,2.497624708
11.61201,104.9,11.62438,104.90807,1689096447,374,1636.434935,4.375494479
11.5794,104.91529,11.54428,104.92531,1689096450,1330,5913.743564,4.446423732
11.57239,104.89256,11.57251,104.89829,1689096454,186,2764.418238,14.86246365
11.59235,104.91841,11.55416,104.93252,1689096457,685,19808.47404,28.91748034
11.54284,104.91992,11.53451,104.91756,1689096459,578,1164.252135,2.01427705
11.50688,104.88425,11.51106,104.88411,1689096478,509,864.2267158,1.697891387
11.56261,104.87467,11.57321,104.92457,1689096479,595,7217.102541,12.1295841
11.51533,104.9259,11.51992,104.93165,1689096479,420,830.0487272,1.976306493
11.59259,104.91827,11.55411,104.93256,1689096490,593,16353.99124,27.57840006
11.53198,104.9349,11.52871,104.93997,1689096499,368,674.5059796,1.832896684
11.53958,104.89657,11.54961,104.89191,1689096545,382,2471.206438,6.469126801
11.53949,104.89663,11.54494,104.89522,1689096599,191,2265.964693,11.86368949
11.56598,104.87304,11.55954,104.87967,1689096602,553,3086.224769,5.580876617
11.51758,104.88285,11.51312,104.88714,1689096613,216,681.4930141,3.15506025
11.56263,104.87264,11.5557,104.86647,1689096616,363,2147.601262,5.916256919
11.61636,104.88903,11.53828,104.88829,1689096620,1890,11852.62322,6.271229219
11.55015,104.89,11.54215,104.89113,1689096625,360,908.3291594,2.523136554
11.54558,104.91945,11.55285,104.92129,1689096633,430,842.6597801,1.959673907
11.5859,104.9162,11.58494,104.9027,1689096641,358,1498.873593,4.186797744
11.53299,104.92943,11.53834,104.9233,1689096643,482,1104.458585,2.291407852
11.57152,104.92771,11.56565,104.92543,1689096651,320,698.3745127,2.182420352
11.54573,104.88276,11.54512,104.88506,1689096660,182,278.6585528,1.531090949
11.53372,104.9294,11.54425,104.92853,1689096664,451,1218.633293,2.702069386
11.50719,104.88387,11.51098,104.88406,1689096675,197,421.9375492,2.141814971
11.52465,104.92745,11.52665,104.92758,1689096675,215,751.5702222,3.495675452
11.56804,104.90022,11.53121,104.91159,1689096694,1022,7779.256501,7.611796968
11.59806,104.93039,11.60576,104.92971,1689096712,217,1593.731156,7.344383206
11.4594,104.88559,11.46147,104.87923,1689096735,313,754.2502537,2.409745219
11.57345,104.92848,11.55403,104.93264,1689096738,427,10463.03692,24.50359933
11.65838,104.85401,11.65852,104.85879,1689096793,275,529.4900694,1.925418434
11.56818,104.91134,11.55854,104.92011,1689096795,259,3227.282338,12.46054957
11.60094,104.93077,11.60551,104.92967,1689096798,199,547.3859919,2.750683376
11.63678,104.90267,11.62845,104.89363,1689096814,812,1351.777165,1.664750204
11.53178,104.9218,11.51621,104.91849,1689096835,577,5319.696233,9.219577528
11.54116,104.83102,11.53312,104.82033,1689096855,251,2771.143316,11.04041162
11.54951,104.83892,11.55124,104.84154,1689096900,218,369.8779295,1.69668775
11.57227,104.92631,11.57846,104.92201,1689096910,358,2478.479705,6.923127667
11.53096,104.82692,11.5407,104.82704,1689096914,182,3694.924984,20.30178562
11.51822,104.86968,11.51636,104.86296,1689096918,192,780.2277872,4.063686392
11.54727,104.90784,11.54176,104.9214,1689096922,296,1779.811966,6.012878265
11.52306,104.88772,11.52577,104.88303,1689096937,344,593.2259529,1.724494049
11.5659,104.84211,11.56985,104.82148,1689096951,528,3056.868139,5.789522991
11.54406,104.92237,11.52053,104.92003,1689096977,387,4835.661864,12.49525029
11.5576,104.90029,11.55109,104.89412,1689096998,780,2245.811809,2.879245909
11.57708,104.89072,11.59,104.87878,1689097008,292,1947.035723,6.667930557
11.58724,104.88208,11.53935,104.88318,1689097008,654,17713.76388,27.08526587
11.52133,104.88852,11.51006,104.88393,1689097009,600,1360.508458,2.267514097
11.53195,104.87958,11.53182,104.88975,1689097038,741,1132.698213,1.528607575
11.5983,104.93051,11.59335,104.92283,1689097042,778,1638.415425,2.105932423
11.5457,104.82446,11.53419,104.82673,1689097054,304,1398.687125,4.600944491
11.55532,104.93866,11.55224,104.93357,1689097062,346,660.1018228,1.907808736
11.5191,104.83251,11.52289,104.83318,1689097106,346,753.7121969,2.178358951
11.48201,104.84887,11.47731,104.84603,1689097112,322,612.0261648,1.900702375
11.53227,104.8151,11.52122,104.78113,1689097112,353,4013.517944,11.36973922
11.54221,104.93907,11.54357,104.94528,1689097116,294,716.3078415,2.43642123
11.55835,104.92022,11.55356,104.92636,1689097117,825,1456.35683,1.765281006
11.44675,104.9026,11.44158,104.8945,1689097140,605,1065.395886,1.760984936
11.54562,104.93125,11.54919,104.9362,1689097142,286,819.5744824,2.865645043
11.56064,104.92946,11.58532,104.91696,1689097155,560,3184.37601,5.686385733
11.55103,104.93358,11.55566,104.9207,1689097178,895,1886.521415,2.107845156
11.52693,104.8927,11.52647,104.90072,1689097180,925,1399.815879,1.513314464
11.51754,104.88937,11.50709,104.88817,1689097238,313,1169.349613,3.735941257
11.55093,104.93786,11.54428,104.92831,1689097261,365,5161.951165,14.14233196
11.55569,104.93448,11.57171,104.91864,1689097277,1045,4182.381704,4.002279142
11.55117,104.8578,11.5709,104.82233,1689097286,755,7445.552243,9.861658599
11.55108,104.92201,11.56382,104.91735,1689097309,389,1526.796804,3.924927516
11.46472,104.98142,11.46802,104.99895,1689097315,1109,2917.493084,2.630742185
11.53084,104.91053,11.53535,104.90711,1689097317,265,2747.451003,10.36773963
11.46163,104.87917,11.45107,104.89121,1689097319,419,1762.274135,4.205904856
11.54897,104.92841,11.54154,104.91624,1689097345,716,2095.459339,2.926619189
11.62586,104.89435,11.63281,104.89164,1689097356,509,2487.489742,4.887013246
11.54211,104.89111,11.55015,104.88971,1689097361,350,906.9257874,2.591216535
11.53204,104.91346,11.52844,104.96013,1689097361,627,20136.55254,32.11571378
11.56742,104.89235,11.59184,104.88922,1689097377,1249,4510.07088,3.61094546
11.55947,104.9345,11.54767,104.91547,1689097396,2442,5388.119038,2.206436952
11.62208,104.89105,11.62856,104.90206,1689097404,617,2619.760904,4.245965809
11.54367,104.94527,11.54226,104.93905,1689097420,264,696.6324008,2.638759094
11.53455,104.91752,11.53452,104.92241,1689097439,224,1929.355621,8.613194735
11.5614,104.91986,11.55066,104.93533,1689097450,516,2548.61527,4.939176881
11.5607,104.85381,11.56359,104.8418,1689097457,299,1347.24085,4.505822239
11.56875,104.86237,11.57422,104.86681,1689097464,230,777.104038,3.378713209
11.52864,104.77531,11.52679,104.78109,1689097499,1211,2360.007893,1.948809161
11.49032,104.79384,11.48596,104.80474,1689097509,594,1282.879012,2.159728976
11.55606,104.92907,11.56681,104.92781,1689097540,332,1210.452109,3.645940088
11.68172,104.84683,11.69967,104.84134,1689097550,1018,2636.060675,2.589450565
11.5658,104.92348,11.5715,104.92768,1689097568,250,781.6988376,3.12679535
11.54973,104.91382,11.56016,104.93521,1689097577,1062,5382.568875,5.068332274
11.55511,104.91636,11.56612,104.91731,1689097623,394,1252.336369,3.178518702
11.60586,104.92974,11.596,104.93069,1689097628,495,2325.187763,4.697349017
11.60061,104.86911,11.6011,104.86358,1689097646,401,608.4138421,1.517241501
11.61499,104.9157,11.61817,104.92264,1689097648,357,840.4530383,2.354210191
11.54425,104.92832,11.54421,104.92181,1689097651,989,1908.48314,1.92970995
11.58382,104.89251,11.58407,104.90253,1689097701,375,1095.260496,2.920694656
11.55328,104.9158,11.57404,104.91051,1689097706,362,2404.320569,6.641769527
11.55575,104.93689,11.55907,104.92759,1689097706,360,1078.309649,2.99530458
11.59277,104.93393,11.55629,104.87819,1689097712,1533,13922.40283,9.081802238
11.58767,104.91583,11.59407,104.91147,1689097728,418,1056.680287,2.527943271
11.63916,104.91471,11.64626,104.90726,1689097735,316,1132.073415,3.582510807
11.54448,104.92796,11.53187,104.93663,1689097740,338,2925.625704,8.65569735
11.54407,104.91906,11.5408,104.9071,1689097758,564,1360.881011,2.412909594
11.5731,104.92464,11.63364,104.88227,1689097809,1738,11192.07728,6.439630193
11.50707,104.88819,11.51371,104.89031,1689097871,242,960.5353115,3.96915418
11.53103,104.94242,11.53121,104.95587,1689097889,203,1480.990033,7.295517405
11.60596,104.91713,11.59351,104.91795,1689097896,1027,1616.422939,1.573926912
11.57392,104.85669,11.56269,104.87228,1689097902,281,6231.615692,22.1765683
11.60978,104.91766,11.61254,104.91625,1689097910,227,383.2450329,1.68830411
11.53063,104.9089,11.54468,104.91408,1689097912,559,1671.294335,2.989793085
11.47828,104.96097,11.47754,104.96715,1689097917,265,691.7031898,2.610200716
11.5307,104.88664,11.51232,104.88178,1689097953,1685,2837.716052,1.684104482
11.56613,104.93208,11.55691,104.92978,1689097991,281,1056.611053,3.760181682
11.48189,104.80444,11.4812,104.80953,1689098008,337,559.9384541,1.661538439
11.53015,104.90587,11.53858,104.91414,1689098018,742,4393.593852,5.921285514
11.50567,104.94489,11.49771,104.943,1689098036,500,908.7548852,1.81750977
11.51835,104.88923,11.51254,104.88167,1689098063,285,2161.284214,7.583453381
11.53449,104.93316,11.53367,104.942,1689098063,268,1087.400563,4.057464789
11.54154,104.91621,11.53522,104.91706,1689098064,346,709.9539178,2.051889936
11.57878,104.91015,11.59247,104.91169,1689098076,620,1614.386593,2.603849344
11.55398,104.92015,11.55282,104.91923,1689098081,222,360.9635594,1.625961979
11.5501,104.88997,11.54202,104.89116,1689098083,370,908.0780524,2.454265006
11.53069,104.7763,11.53039,104.76831,1689098134,374,889.2345322,2.377632439
11.57289,104.89965,11.58571,104.90928,1689098152,512,1779.517062,3.475619261
11.59735,104.93079,11.60671,104.92926,1689098178,202,5042.935379,24.96502663
11.57549,104.87772,11.57195,104.89935,1689098186,773,8663.623651,11.20779256
11.6303,104.91463,11.6291,104.90436,1689098223,623,1126.460646,1.808123027
11.5257,104.88303,11.52307,104.88755,1689098267,331,572.7555069,1.730379175
11.55687,104.92951,11.56788,104.91881,1689098273,337,1830.586138,5.432006345
11.58449,104.9113,11.56511,104.88767,1689098284,515,4736.980121,9.198019652
11.55423,104.92187,11.558,104.93826,1689098290,1234,1917.343187,1.553762712
11.51371,104.89025,11.496,104.89237,1689098296,311,3109.840685,9.999487733
11.56226,104.84745,11.56793,104.84811,1689098298,361,649.0518599,1.79792759
11.53411,104.8264,11.5296,104.84812,1689098317,350,7223.039733,20.63725638
11.53046,104.92817,11.52654,104.9276,1689098319,267,499.1725303,1.869560038
11.57154,104.8884,11.56456,104.89971,1689098328,317,1468.845676,4.633582574
11.5336,104.942,11.53449,104.93308,1689098341,194,989.8204182,5.102167104
11.63068,104.9178,11.63842,104.91943,1689098342,278,1061.319591,3.81769637
11.62594,104.89421,11.63283,104.89168,1689098359,224,814.209852,3.634865411
11.48773,104.78778,11.48242,104.78267,1689098403,307,820.3912929,2.672284342
11.58173,104.84537,11.57809,104.83595,1689098417,248,1103.077804,4.44789437
11.53867,104.96672,11.53426,104.95575,1689098430,603,1291.854178,2.142378404
11.56611,104.91715,11.55842,104.90922,1689098442,637,1538.008089,2.414455399
11.54926,104.9349,11.52304,104.93776,1689098447,391,3920.116151,10.02587251
11.56604,104.90373,11.57674,104.8913,1689098457,329,1802.520885,5.478786886
11.5767,104.92583,11.56601,104.91716,1689098480,339,1529.468778,4.511707309
11.52828,104.92499,11.549,104.92849,1689098493,665,3470.589868,5.218932133
11.55341,104.92511,11.56901,104.92764,1689098498,494,1954.736809,3.956957103
11.63819,104.88931,11.63599,104.89446,1689098522,315,619.3041831,1.966045026
11.55352,104.92511,11.55139,104.93823,1689098529,952,4126.081294,4.334119007
11.50914,104.93218,11.51246,104.92815,1689098537,197,573.6692951,2.912026879
11.57159,104.89948,11.56468,104.88919,1689098548,458,1659.555805,3.623484291
11.52577,104.9183,11.52031,104.91986,1689098551,391,647.2258658,1.65530912
11.55076,104.93581,11.55424,104.93073,1689098558,396,675.2920454,1.705282943
11.54406,104.92181,11.5499,104.93689,1689098565,674,4041.033378,5.995598483
11.69964,104.84138,11.69635,104.83656,1689098569,572,2676.928554,4.679945025
11.55117,104.84129,11.55957,104.85134,1689098579,266,1548.33068,5.82079203
11.544,104.92219,11.55587,104.9262,1689098647,633,1967.754938,3.108617596
11.49721,104.94158,11.50602,104.94488,1689098648,427,1043.535671,2.443877449
11.53615,104.88295,11.54266,104.87976,1689098670,342,811.7760262,2.373614112
11.56803,104.88222,11.57491,104.89057,1689098672,618,1205.426041,1.950527574
11.55061,104.93368,11.54599,104.93081,1689098675,344,616.9397815,1.793429597
11.71684,104.93286,11.71324,104.94892,1689098704,554,1831.972918,3.306810321
11.55373,104.77892,11.54869,104.77524,1689098707,446,689.0595523,1.544976575
11.55345,104.93672,11.56728,104.92706,1689098717,915,5600.51284,6.12077906
11.5382,104.88828,11.54515,104.89267,1689098723,478,1693.590784,3.543076953
11.55321,104.91371,11.52453,104.91877,1689098743,460,13094.23628,28.46573104
11.5305,104.85488,11.53142,104.83406,1689098743,279,4314.106157,15.46274608
11.49714,104.93657,11.49276,104.94016,1689098771,295,671.5213658,2.276343613
11.527,104.92837,11.55084,104.93837,1689098782,654,4168.035509,6.37314298
11.56132,104.84419,11.56149,104.84347,1689098798,197,354.9132918,1.801590314
11.55185,104.92861,11.50927,104.935,1689098800,464,5102.903567,10.997637
11.56672,104.90836,11.56805,104.91673,1689098803,471,934.4190732,1.983904614
11.56328,104.88319,11.55629,104.87812,1689098827,477,4065.0321,8.522079873
11.5153,104.94065,11.51261,104.95661,1689098866,447,2076.578545,4.645589585
11.47305,104.96024,11.47792,104.96639,1689098896,206,870.1685406,4.224119129
11.66508,104.85428,11.66526,104.85948,1689098897,357,737.8708722,2.066865188
11.55986,104.9239,11.54232,104.92782,1689098907,596,3014.210372,5.057399953
11.44513,104.8478,11.46062,104.8486,1689098920,237,1772.278925,7.477970148
11.51908,104.95186,11.51741,104.94566,1689098944,372,702.1910714,1.887610407
11.55833,104.93654,11.57222,104.92591,1689098966,742,1945.82839,2.622410229
11.5702,104.92822,11.55184,104.9385,1689099002,450,3503.912258,7.786471684
11.55574,104.91549,11.54921,104.90558,1689099018,197,1314.465085,6.672411597
11.48769,104.81706,11.50168,104.81908,1689099035,283,1585.560808,5.602688368
11.56607,104.91712,11.57662,104.92587,1689099041,476,2487.352756,5.225531
11.52779,104.92519,11.52703,104.93171,1689099049,385,715.3773507,1.858122989
11.70987,104.94723,11.67843,104.91824,1689099052,363,6277.473263,17.29331477
11.50463,104.81686,11.49566,104.8108,1689099061,759,1197.213603,1.577356525
11.55277,104.92881,11.53543,104.92856,1689099133,2874,8058.264964,2.803850022
11.54906,104.92844,11.58484,104.91731,1689099168,407,6769.498452,16.63267433
11.63596,104.89434,11.6377,104.88868,1689099174,418,651.1058811,1.557669572
11.54417,104.91937,11.54557,104.91004,1689099185,188,1496.391565,7.959529601
11.54027,104.79747,11.54542,104.80127,1689099219,269,722.1375523,2.684526217
11.55085,104.9158,11.5421,104.90793,1689099242,193,3214.19781,16.65387466
11.56918,104.93035,11.57211,104.92931,1689099253,634,1175.017221,1.853339465
11.591,104.90512,11.58784,104.90625,1689099254,195,381.3566788,1.955675276
11.56076,104.91906,11.56788,104.91512,1689099275,386,1335.153646,3.45894727
11.55595,104.92617,11.55797,104.9202,1689099286,276,695.5127992,2.51997391
11.56697,104.89225,11.56652,104.87929,1689099308,265,1412.708805,5.330976624
11.55044,104.9372,11.5505,104.93631,1689099321,213,383.5233685,1.800579195
11.55245,104.9229,11.54385,104.92188,1689099333,690,1493.881426,2.165045545
11.63278,104.86723,11.62923,104.86172,1689099335,358,718.2943362,2.00640876
11.51743,104.94563,11.51908,104.95181,1689099342,370,718.8618103,1.942869758
11.53347,104.95683,11.53283,104.95275,1689099344,225,473.2718161,2.103430294
11.54939,104.93558,11.55611,104.93004,1689099362,502,1438.339489,2.865218105
11.54825,104.93719,11.54559,104.93008,1689099364,277,829.1468545,2.993309944
11.5511,104.8663,11.53928,104.84677,1689099406,809,3129.245063,3.868040869
11.57309,104.91681,11.5744,104.92605,1689099446,363,1042.832641,2.872817193
11.50856,104.89075,11.50924,104.88052,1689099448,747,1724.267744,2.308256685
11.66258,104.91305,11.61058,104.92769,1689099464,706,23941.45881,33.91141474
11.55696,104.84792,11.53366,104.82388,1689099464,629,3732.338561,5.933765598
11.5685,104.90614,11.56558,104.8994,1689099476,628,2468.371588,3.930528007
11.69628,104.83649,11.68705,104.8306,1689099481,265,1210.714065,4.56873232
11.54994,104.93687,11.54393,104.92797,1689099493,291,1197.550734,4.115294618
11.54854,104.89774,11.56621,104.87121,1689099498,447,6049.934101,13.53452819
11.45364,104.78913,11.44844,104.79534,1689099499,567,1588.662623,2.801874114
11.58786,104.92361,11.58381,104.93851,1689099500,259,1800.241887,6.950740877
11.5636,104.92667,11.54941,104.92852,1689099520,312,1590.677608,5.098325668
11.582,104.92088,11.5837,104.91798,1689099542,255,395.628466,1.55148418
11.57364,104.90134,11.5744,104.88853,1689099553,557,1871.084085,3.359217388
11.6334,104.87904,11.59122,104.89275,1689099568,1038,11407.36489,10.98975423
11.55802,104.92017,11.55113,104.92163,1689099568,887,2539.756544,2.863310647
11.56289,104.86509,11.5626,104.85444,1689099582,565,1177.86985,2.084725398
11.5617,104.89301,11.55776,104.90142,1689099589,190,1943.848377,10.23078093
11.54993,104.93693,11.55107,104.92992,1689099634,294,983.9637992,3.346815643
11.55053,104.93875,11.53302,104.92865,1689099639,1028,4121.973075,4.009701435
